epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,508.12,4.47739,21.927,0.00807,0.00031,0.09333,4e-05,1e-05,3.41922,14.345,0.00502,0.000658009,0.000658009,0.000658009
2,1208.84,3.75719,10.7755,0.00482,0.78576,0.08667,0.08495,0.04648,3.26727,9.12329,0.00556,0.00129845,0.00129845,0.00129845
3,1741.33,3.5583,7.91824,0.00446,0.74829,0.09333,0.09456,0.0424,3.04943,6.24106,0.00484,0.00191248,0.00191248,0.00191248
4,2182.48,3.59181,6.36629,0.00428,0.99243,0.09333,0.09674,0.05821,2.93997,5.47337,0.00463,0.0018812,0.0018812,0.0018812
5,2655.4,3.44607,5.14847,0.00405,0.88871,0.09333,0.09876,0.04454,2.90647,5.68787,0.00454,0.0018416,0.0018416,0.0018416
6,3280.75,3.59309,4.63901,0.00439,0.94904,0.09333,0.10456,0.06684,2.8064,3.84867,0.00446,0.001802,0.001802,0.001802
7,4022.95,3.45774,4.1156,0.00414,0.9802,0.09333,0.10336,0.06176,2.74867,3.80482,0.00416,0.0017624,0.0017624,0.0017624
